Country Name,Country Code,Indicator Name, 2008 ,,,Subcategory,Country,Country name,Comment
Central African Republic,CAF,"Population, total", 4 237 961 ,,,,,,
Chad,TCD,"Population, total", 10 653 762 ,,,,,,
Channel Islands,CHI,"Population, total", 151 705 ,,,,,,
Chile,CHL,"Population, total", 16 795 593 ,,,,,,
China,CHN,"Population, total", 1 324 655 000 ,,,,,,
Colombia,COL,"Population, total", 45 005 782 ,,,,,,
Comoros,COM,"Population, total", 697 034 ,,,,,,
"Congo, Dem. Rep.",ZAR,"Population, total", 62 474 901 ,,,,,,
"Congo, Rep.",COG,"Population, total", 3 836 339 ,,,,,,
Costa Rica,CRI,"Population, total", 4 522 124 ,,,,,,
Cote d'Ivoire,CIV,"Population, total", 18 987 007 ,,,,,,
Croatia,HRV,"Population, total", 4 434 000 ,,,,,,
Cuba,CUB,"Population, total", 11 266 905 ,,,,,,
Curacao,CUW,"Population, total", 141 279 ,,,,,,
Cyprus,CYP,"Population, total", 1 077 001 ,,,,,,
Czech Republic,CZE,"Population, total", 10 424 336 ,,,,,,
Denmark,DNK,"Population, total", 5 493 621 ,,,,,,
Djibouti,DJI,"Population, total", 855 636 ,,,,,,
Dominica,DMA,"Population, total", 68 159 ,,,,,,
Dominican Republic,DOM,"Population, total", 9 664 948 ,,,,,,
Ecuador,ECU,"Population, total", 14 056 740 ,,,,,,
"Egypt, Arab Rep.",EGY,"Population, total", 78 323 298 ,,,,,,
El Salvador,SLV,"Population, total", 6 129 628 ,,,,,,
Equatorial Guinea,GNQ,"Population, total", 662 327 ,,,,,,
Eritrea,ERI,"Population, total", 4 947 521 ,,,,,,
Estonia,EST,"Population, total", 1 340 675 ,,,,,,
Ethiopia,ETH,"Population, total", 79 446 419 ,,,,,,
Faeroe Islands,FRO,"Population, total", 48 597 ,,,,,,
Fiji,FJI,"Population, total", 843 651 ,,,,,,
Finland,FIN,"Population, total", 5 313 399 ,,,,,,
France,FRA,"Population, total", 64 370 515 ,,,,,,
French Polynesia,PYF,"Population, total", 264 541 ,,,,,,
Gabon,GAB,"Population, total", 1 450 310 ,,,,,,
"Gambia, The",GMB,"Population, total", 1 636 107 ,,,,,,
Georgia,GEO,"Population, total", 4 383 700 ,,,,,,
Germany,GER,"Population, total", 82 110 097 ,,,,,,
Ghana,GHA,"Population, total", 23 264 176 ,,,,,,
Greece,GRE,"Population, total", 11 237 094 ,,,,,,
Greenland,GRL,"Population, total", 56 328 ,,,,,,
Grenada,GRD,"Population, total", 103 723 ,,,,,,
Guam,GUM,"Population, total", 175 538 ,,,,,,
Guatemala,GTM,"Population, total", 13 690 846 ,,,,,,
Guinea,GIN,"Population, total", 9 559 110 ,,,,,,
Guinea-Bissau,GNB,"Population, total", 1 453 757 ,,,,,,
Guyana,GUY,"Population, total", 751 578 ,,,,,,
Haiti,HTI,"Population, total", 9 736 332 ,,,,,,
Honduras,HND,"Population, total", 7 302 742 ,,,,,,
"Hong Kong SAR, China",HKG,"Population, total", 6 977 700 ,,,,,,
Hungary,HUN,"Population, total", 10 038 188 ,,,,,,
Iceland,ISL,"Population, total", 317 414 ,,,,,,
India,IND,"Population, total", 1 190 863 679 ,,,,,,
Indonesia,IDN,"Population, total", 234 951 154 ,,,,,,
"Iran, Islamic Rep.",IRN,"Population, total", 72 289 291 ,,,,,,
Iraq,IRQ,"Population, total", 30 178 292 ,,,,,,
Ireland,IRE,"Population, total", 4 425 683 ,,,,,,
Isle of Man,IMY,"Population, total", 81 798 ,,,,,,
Israel,ISR,"Population, total", 7 308 800 ,,,,,,
Italy,ITA,"Population, total", 59 832 179 ,,,,,,
Jamaica,JAM,"Population, total", 2 687 200 ,,,,,,
Japan,JPN,"Population, total", 127 704 040 ,,,,,,
Jordan,JOR,"Population, total", 5 787 000 ,,,,,,
Kazakhstan,KAZ,"Population, total", 15 673 999 ,,,,,,
Kenya,KEN,"Population, total", 38 455 418 ,,,,,,
Kiribati,KIR,"Population, total", 96 532 ,,,,,,
"Korea, Dem. Rep.",PRK,"Population, total", 24 126 329 ,,,,,,
"Korea, Rep.",KOR,"Population, total", 48 949 000 ,,,,,,
Kosovo,KSV,"Population, total", 1 747 383 ,,,,,,
Kuwait,KWT,"Population, total", 2 548 351 ,,,,,,
Kyrgyz Republic,KGZ,"Population, total", 5 318 700 ,,,,,,
Lao PDR,LAO,"Population, total", 6 022 001 ,,,,,,
Latvia,LAT,"Population, total", 2 266 094 ,,,,,,
Lebanon,LBN,"Population, total", 4 166 915 ,,,,,,
Lesotho,LSO,"Population, total", 2 127 412 ,,,,,,
Liberia,LBR,"Population, total", 3 658 460 ,,,,,,
Libya,LBY,"Population, total", 6 149 620 ,,,,,,
Liechtenstein,LIE,"Population, total", 35 521 ,,,,,,
Lithuania,LTU,"Population, total", 3 358 115 ,,,,,,
Luxembourg,LUX,"Population, total", 488 650 ,,,,,,
"Macao SAR, China",MAC,"Population, total", 518 463 ,,,,,,
"Macedonia, FYR",MKD,"Population, total", 2 052 524 ,,,,,,
Madagascar,MDG,"Population, total", 19 546 282 ,,,,,,
Malawi,MWI,"Population, total", 14 005 113 ,,,,,,
Malaysia,MYS,"Population, total", 27 502 008 ,,,,,,
Maldives,MDV,"Population, total", 307 632 ,,,,,,
Mali,MLI,"Population, total", 14 459 990 ,,,,,,
Malta,MLT,"Population, total", 411 950 ,,,,,,
Marshall Islands,MHL,"Population, total", 52 880 ,,,,,,
Mauritania,MRT,"Population, total", 3 295 254 ,,,,,,
Mauritius,MUS,"Population, total", 1 268 565 ,,,,,,
Mexico,MEX,"Population, total", 110 627 158 ,,,,,,
"Micronesia, Fed. Sts.",FSM,"Population, total", 110 367 ,,,,,,
Moldova,MDA,"Population, total", 3 570 107 ,,,,,,
Monaco,MCO,"Population, total", 35 336 ,,,,,,
Mongolia,MNG,"Population, total", 2 667 474 ,,,,,,
Montenegro,MNE,"Population, total", 629 185 ,,,,,,
Morocco,MAR,"Population, total", 31 321 453 ,,,,,,
Mozambique,MOZ,"Population, total", 22 332 900 ,,,,,,
Myanmar,MMR,"Population, total", 47 250 315 ,,,,,,
Namibia,NAM,"Population, total", 2 200 422 ,,,,,,
Nepal,NPL,"Population, total", 28 905 358 ,,,,,,
Netherlands,HOL,"Population, total", 16 445 593 ,,,,,,
New Caledonia,NCL,"Population, total", 243 985 ,,,,,,
New Zealand,NZL,"Population, total", 4 268 900 ,,,,,,
Nicaragua,NIC,"Population, total", 5 635 577 ,,,,,,
Niger,NER,"Population, total", 14 450 007 ,,,,,,
Nigeria,NGA,"Population, total", 150 665 730 ,,,,,,
Northern Mariana Islands,MNP,"Population, total", 62 707 ,,,,,,
Norway,NOR,"Population, total", 4 768 212 ,,,,,,
Oman,OMN,"Population, total", 2 636 963 ,,,,,,
Pakistan,PAK,"Population, total", 167 442 258 ,,,,,,
Palau,PLW,"Population, total", 20 228 ,,,,,,
Panama,PAN,"Population, total", 3 406 487 ,,,,,,
Papua New Guinea,PNG,"Population, total", 6 549 268 ,,,,,,
Paraguay,PRY,"Population, total", 6 230 242 ,,,,,,
Peru,PER,"Population, total", 28 463 338 ,,,,,,
Philippines,PHL,"Population, total", 90 173 139 ,,,,,,
Poland,POL,"Population, total", 38 125 759 ,,,,,,
Portugal,PRT,"Population, total", 10 622 413 ,,,,,,
Puerto Rico,PRI,"Population, total", 3 760 866 ,,,,,,
Qatar,QAT,"Population, total", 1 396 060 ,,,,,,
Romania,ROM,"Population, total", 21 513 622 ,,,,,,
Russian Federation,RUS,"Population, total", 141 950 000 ,,,,,,
Rwanda,RWA,"Population, total", 10 004 092 ,,,,,,
Samoa,WSM,"Population, total", 181 809 ,,,,,,
San Marino,SMR,"Population, total", 31 198 ,,,,,,
Sao Tome and Principe,STP,"Population, total", 159 852 ,,,,,,
Saudi Arabia,SAU,"Population, total", 26 166 639 ,,,,,,
Senegal,SEN,"Population, total", 11 787 123 ,,,,,,
Serbia,SRB,"Population, total", 7 350 221 ,,,,,,
Seychelles,SYC,"Population, total", 86 956 ,,,,,,
Sierra Leone,SLE,"Population, total", 5 612 129 ,,,,,,
Singapore,SGP,"Population, total", 4 839 400 ,,,,,,
Sint Maarten (Dutch part),SXM,"Population, total", 40 459 ,,,,,,
Slovak Republic,SVK,"Population, total", 5 406 626 ,,,,,,
Slovenia,SVN,"Population, total", 2 021 316 ,,,,,,
Solomon Islands,SLB,"Population, total", 510 221 ,,,,,,
Somalia,SOM,"Population, total", 8 922 260 ,,,,,,
South Africa,ZAF,"Population, total", 48 793 022 ,,,,,,
South Sudan,SSD,"Population, total", 8 976 845 ,,,,,,
Spain,ESP,"Population, total", 45 555 716 ,,,,,,
Sri Lanka,LKA,"Population, total", 20 217 000 ,,,,,,
St. Kitts and Nevis,KNA,"Population, total", 51 102 ,,,,,,
St. Lucia,LCA,"Population, total", 170 331 ,,,,,,
St. Martin (French part),MAF,"Population, total", 29 376 ,,,,,,
St. Vincent and the Grenadines,VCT,"Population, total", 109 178 ,,,,,,
Sudan,SDN,"Population, total", 32 438 306 ,,,,,,
Suriname,SUR,"Population, total", 515 066 ,,,,,,
Swaziland,SUI,"Population, total", 1 031 747 ,,,,,,
Sweden,SWE,"Population, total", 9 219 637 ,,,,,,
Switzerland,CHE,"Population, total", 7 647 675 ,,,,,,
Syrian Arab Republic,SYR,"Population, total", 19 637 776 ,,,,,,
Tajikistan,TJK,"Population, total", 6 691 416 ,,,,,,
Tanzania,TZA,"Population, total", 42 267 667 ,,,,,,
Thailand,THA,"Population, total", 68 267 982 ,,,,,,
Timor-Leste,TMP,"Population, total", 1 077 911 ,,,,,,
Togo,TGO,"Population, total", 5 776 837 ,,,,,,
Tonga,TON,"Population, total", 102 910 ,,,,,,
Trinidad and Tobago,TTO,"Population, total", 1 331 040 ,,,,,,
Tunisia,TUN,"Population, total", 10 328 900 ,,,,,,
Turkey,TUR,"Population, total", 70 923 730 ,,,,,,
Turkmenistan,TKM,"Population, total", 4 918 396 ,,,,,,
Turks and Caicos Islands,TCA,"Population, total", 35 960 ,,,,,,
Tuvalu,TUV,"Population, total", 9 786 ,,,,,,
Uganda,UGA,"Population, total", 31 339 392 ,,,,,,
Ukraine,UKR,"Population, total", 46 258 200 ,,,,,,
United Arab Emirates,ARE,"Population, total", 6 206 623 ,,,,,,
United Kingdom,UK,"Population, total", 61 393 521 ,,,,,,
United States,USA,"Population, total", 304 093 966 ,,,,,,
Uruguay,URY,"Population, total", 3 334 052 ,,,,,,
Uzbekistan,UZB,"Population, total", 27 302 700 ,,,,,,
Vanuatu,VUT,"Population, total", 228 041 ,,,,,,
"Venezuela, RB",VEN,"Population, total", 27 935 000 ,,,,,,
Vietnam,VNM,"Population, total", 85 122 300 ,,,,,,
Virgin Islands (U.S.),VIR,"Population, total", 109 832 ,,,,,,
West Bank and Gaza,WBG,"Population, total", 3 596 688 ,,,,,,
"Yemen, Rep.",YEM,"Population, total", 22 626 595 ,,,,,,
Zambia,ZMB,"Population, total", 12 379 612 ,,,,,,
Zimbabwe,ZWE,"Population, total", 12 451 543 ,,,,,,
Yugoslavia,YUG,"Population, total", 20 261 410 ,,,,,,
Soviet Union,URS,"Population, total", 284 402 589 ,,,,,,
West Germany,FRG,"Population, total", 41 055 049 ,,,,,,
Unified Team of Germany,EUA,"Population, total", 82 110 097 ,,,,,,
East Germany,GDR,"Population, total", 41 055 049 ,,,,,,
Russian Empire,RU1,"Population, total", 141 950 000 ,,,,,,
Serbia and Montenegro,SCG,"Population, total", 7 979 406 ,,,,,,
Czechoslovakia,TCH,"Population, total", 15 830 962 ,,,,,,
