Sludinājumidatums_2,Ist.,m2,Stāvs,Stavs,Sērija,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Iela full,Rajons,Merged,Year
Izdevīgs piedāvājums renovētā mājā Rīgā gaida savu jauno īpašnieku.,1,23,2,2,Renov.,"24,174",1051.043478,Krustpils,123A,Ķengarags Krustpils 123A,Ķengarags,"Latvia, Riga, Ķengarags Krustpils 123A",2018
"Rīgas centra tuvumā, mūra māja, otrā stāvā. Iespēja pievienot blakus",1,25,2,2,Specpr.,"8,790",351.6,Ceļinieku,12,Sarkandaugava Ceļinieku 12,Sarkandaugava,"Latvia, Riga, Sarkandaugava Ceļinieku 12",2018
"Печное отопление, есть электрические батареи. Вода, туалет на лестни",1,23,2,2,P. kara,"18,500",804.3478261,Čiekurkalna 6. šķ l.,1,Čiekurkalns Čiekurkalna 6. šķ l. 1,Čiekurkalns,"Latvia, Riga, Čiekurkalns Čiekurkalna 6. šķ l. 1",2018
Dzīvoklis atrodas otrajā stāva piecstāvu mājā. Dzīvoklis ir gaišs un,1,39,2,2,M. ģim.,"30,600",784.6153846,Dzeņu,6,Pļavnieki Dzeņu 6,Pļavnieki,"Latvia, Riga, Pļavnieki Dzeņu 6",2018
"Dzīvoklis pirmskara - ķieģeļu/koka mājā. Vajadzīgs remonts, krāsns a",1,24,2,2,P. kara,"8,700",362.5,Hāpsalas,21,Sarkandaugava Hāpsalas 21,Sarkandaugava,"Latvia, Riga, Sarkandaugava Hāpsalas 21",2018
"Jauks, saulains, vienistabas dzīvoklis. Pakešu logi, lamināta grīdas",1,27,2,2,LT proj.,"32,000",1185.185185,Druvienas,34,Mežciems Druvienas 34,Mežciems,"Latvia, Riga, Mežciems Druvienas 34",2018
"Очень тёплая и уютная квартира. После кап. ремонта, с новой сантехни",1,31,2,2,Hrušč.,"34,500",1112.903226,Kvēles,33,Jugla Kvēles 33,Jugla,"Latvia, Riga, Jugla Kvēles 33",2018
Застройщик продаёт 1.5-комнатни квартиры за специальное предложение,1,33,2,2,Jaun.,"57,600",1745.454545,Valentīna,16,Āgenskalns Valentīna 16,Āgenskalns,"Latvia, Riga, Āgenskalns Valentīna 16",2018
"Хозяин без посредников продает теплую сухую квартиру, требуется ремо",1,21,2,2,P. kara,"6,800",323.8095238,Saulkrastu,2/4,Čiekurkalns Saulkrastu 2/4,Čiekurkalns,"Latvia, Riga, Čiekurkalns Saulkrastu 2/4",2018
"Īpašnieks pārdod 1 istb. studio dzīvokli, Emmas ielā 28, 18.3 kv. m.",1,18,2,2,Renov.,"23,600",1311.111111,Emmas,28,Vecmīlgrāvis Emmas 28,Vecmīlgrāvis,"Latvia, Riga, Vecmīlgrāvis Emmas 28",2018
Pārdod īpašnieks. Tikko veikts kapitālais remonts. Siltinātas ārsien,1,29,2,2,P. kara,"30,000",1034.482759,Kalnciema,132,Šampēteris-Pleskodāle Kalnciema 132,Šampēteris-Pleskodāle,"Latvia, Riga, Šampēteris-Pleskodāle Kalnciema 132",2018
"Mūra-ķieģeļu māja, pamatīgi būvēta 1959. gadā + Pirmajā fotogrāfijā",1,21,2,2,P. kara,"14,000",666.6666667,Balvu,3,Krasta r-ns Balvu 3,Krasta r-ns,"Latvia, Riga, Krasta r-ns Balvu 3",2018
"Место подойдёт как для любителей активного образа жизни, так и для л",1,31,2,2,LT proj.,"35,000",1129.032258,Juglas,3,Jugla Juglas 3,Jugla,"Latvia, Riga, Jugla Juglas 3",2018
"Квартира после ремонта, освобождена. Отопление печное и электрическо",1,29,2,2,P. kara,"18,300",631.0344828,Ludzas,2,Maskavas priekšpilsēta Ludzas 2,Maskavas priekšpilsēta,"Latvia, Riga, Maskavas priekšpilsēta Ludzas 2",2018
"Pārdodu gaišu, saulainu 1-istabas dzīvokli. Veikts kvalitatīvs remon",1,32,2,2,P. kara,"26,400",825,Melnsila,8,Āgenskalns Melnsila 8,Āgenskalns,"Latvia, Riga, Āgenskalns Melnsila 8",2018
Pārdodam izremontētu vienistabas dzīvokli. Dzīvoklī ir uzstādītas me,1,27,2,2,P. kara,"19,900",737.037037,Vēja,16,Torņakalns Vēja 16,Torņakalns,"Latvia, Riga, Torņakalns Vēja 16",2018
"Daļēji remontēts, silts, dzīvoklis Pļauniekos. Nav stūra, ir gaišs",1,34,2,2,602.,"32,000",941.1764706,Rudens,7,Pļavnieki Rudens 7,Pļavnieki,"Latvia, Riga, Pļavnieki Rudens 7",2018
Жильё по доступной цене. Светлая комната в доме комунального типа.,1,16,2,2,Renov.,"7,500",468.75,Kapseļu,25,Āgenskalns Kapseļu 25,Āgenskalns,"Latvia, Riga, Āgenskalns Kapseļu 25",2018
Īpašnieks pārdod vienistabas dzīvokli mūra-koka mājā. Netalu no Meža,1,27,2,2,P. kara,"9,400",348.1481481,Sarkandaugavas,21,Sarkandaugava Sarkandaugavas 21,Sarkandaugava,"Latvia, Riga, Sarkandaugava Sarkandaugavas 21",2018
"Аренда с правом выкупа. При оформлении, оплата первого взноса в",1,25,2,2,Jaun.,"24,000",960,Rencēnu,29-к1,Pļavnieki Rencēnu 29-к1,Pļavnieki,"Latvia, Riga, Pļavnieki Rencēnu 29-к1",2018
Īpašnieks pārdod astoņdzīvokļu mājā 1 istabu dzīvokli. Krāsns apkure,1,35,2,2,P. kara,"10,000",285.7142857,Hāpsalas,9,Sarkandaugava Hāpsalas 9,Sarkandaugava,"Latvia, Riga, Sarkandaugava Hāpsalas 9",2018
Pārdodam gaišu 1 istabas dzīvokli. Tajā nesen veikt remonts. Dzīvokl,1,26,2,2,P. kara,"17,000",653.8461538,Ropažu,93,Teika Ropažu 93,Teika,"Latvia, Riga, Teika Ropažu 93",2018
Продается 1-комн. квартира после капитального ремонта. Поменяны ок,1,18,2,2,P. kara,"16,500",916.6666667,Ziemeļu,16,Sarkandaugava Ziemeļu 16,Sarkandaugava,"Latvia, Riga, Sarkandaugava Ziemeļu 16",2018
"Pārdodu jauku 1 istabas dzīvokli Sarkandaugavā, 2. stāvā. Logi vērst",1,34,2,2,103.,"33,700",991.1764706,Sliežu,9A,Sarkandaugava Sliežu 9a,Sarkandaugava,"Latvia, Riga, Sarkandaugava Sliežu 9a",2018
"1 istabu saulains dzīvoklis Purvciemā, Zeltiņu ielā 9, 103.sērijas n",1,34,2,2,103.,"30,500",897.0588235,Zeltiņu,9,Dārzciems Zeltiņu 9,Dārzciems,"Latvia, Riga, Dārzciems Zeltiņu 9",2018
Īpašnieks pārdod dzīvokli sakoptajā kopīpašumā. Bez remonta. Korrekt,1,30,2,2,P. kara,"35,000",1166.666667,Brīvības,209,Teika Brīvības 209,Teika,"Latvia, Riga, Teika Brīvības 209",2018
"Tiek piedāvāts pārdot dzīvokli ļoti labā vietā, Teikas rajonā. Dzīvo",1,29,2,2,Renov.,"48,000",1655.172414,Struktoru,7,Teika Struktoru 7,Teika,"Latvia, Riga, Teika Struktoru 7",2018
"Pārdodu gaišu, saulainu 1-istabas dzīvokli. Veikts kvalitatīvs remon",1,35,2,2,P. kara,"33,900",968.5714286,Bāriņu,11,Āgenskalns Bāriņu 11,Āgenskalns,"Latvia, Riga, Āgenskalns Bāriņu 11",2018
"Продается уютная, солнечная квартирка, печное отопление, сарай для х",1,30,2,2,P. kara,"18,400",613.3333333,Baložu,29,Āgenskalns Baložu 29,Āgenskalns,"Latvia, Riga, Āgenskalns Baložu 29",2018
"Pārdod 1istabas dzīvokli Āgenskalna priedēs. Silts, gaišs, kompakts",1,13,2,2,M. ģim.,"15,000",1153.846154,Kristapa,14,Āgenskalns Kristapa 14,Āgenskalns,"Latvia, Riga, Āgenskalns Kristapa 14",2018
Īpašnieks pārdod vienistabas dzīvokli labā atrašanās vietā. Sēdzama,1,22,2,2,Specpr.,"9,900",450,Alekša,11,Sarkandaugava Alekša 11,Sarkandaugava,"Latvia, Riga, Sarkandaugava Alekša 11",2018
Старая Рига. Продаю свою квартирку-студию. Небольшая (действительн,1,18,2,2,P. kara,"56,000",3111.111111,M. Smilšu,11,Vecrīga M. Smilšu 11,Vecrīga,"Latvia, Riga, Vecrīga M. Smilšu 11",2018
"Pārdod sausu un gaišu dzīvokli. Dzīvoklim ir Pvc logi, metāla durv",1,31,2,2,Hrušč.,"26,500",854.8387097,Brīvības,391,Jugla Brīvības 391,Jugla,"Latvia, Riga, Jugla Brīvības 391",2018
"AS ""Privatbank"" meitas uzņēmuma īpašums atrodas Rīgā, Pļavnieku mikr",1,42,2,2,M. ģim.,"33,000",785.7142857,Ulbrokas,8,Pļavnieki Ulbrokas 8,Pļavnieki,"Latvia, Riga, Pļavnieki Ulbrokas 8",2018
Pārdodas kompakts 1-istabas dzīvoklis ar dāļejam ērtībam. Krāsns apk,1,24,2,2,P. kara,"14,900",620.8333333,Čiekurkalna 2. l.,36,Čiekurkalns Čiekurkalna 2. l. 36,Čiekurkalns,"Latvia, Riga, Čiekurkalns Čiekurkalna 2. l. 36",2018
"Продаётся 1-комнатная, очень тёплая, уютная квартира на 2-м этаже. К",1,39,2,2,M. ģim.,"33,500",858.974359,Koku,10,Torņakalns Koku 10,Torņakalns,"Latvia, Riga, Torņakalns Koku 10",2018
Pārdod vienistabas dzīvokli Iļguciema rajonā. Dzīvoklis bez apgrūt,1,32,2,2,Hrušč.,"28,000",875,Vaidelotes,23,Iļģuciems Vaidelotes 23,Iļģuciems,"Latvia, Riga, Iļģuciems Vaidelotes 23",2018
"Īpašnieks pārdod vienistabas dzīvokli, ar mēbelēm, lieliskā vietā- P",1,38,2,2,P. kara,"29,500",776.3157895,Nīcgales,57,Purvciems Nīcgales 57,Purvciems,"Latvia, Riga, Purvciems Nīcgales 57",2018
"Срочно, продаёт хозяин всвязи с переездом, снижена цена. Если хотите",1,31,2,2,Hrušč.,"31,600",1019.354839,Patversmes,26,Sarkandaugava Patversmes 26,Sarkandaugava,"Latvia, Riga, Sarkandaugava Patversmes 26",2018
В продаже экономичная 1 комнатная квартира в деревянном доме. Земля,1,23,2,2,Specpr.,"7,000",304.3478261,Tēraudlietuves,10а,Čiekurkalns Tēraudlietuves 10а,Čiekurkalns,"Latvia, Riga, Čiekurkalns Tēraudlietuves 10а",2018
"3-х комнатная ""распашонка"". Недавно заменены окна. Нужен ремонт. Оче",3,66,4,4,LT proj.,"44,000",666.6666667,Palangas,7,Iļģuciems Palangas 7,Iļģuciems,"Latvia, Riga, Iļģuciems Palangas 7",2018
Plašs trīsistabu dzīvoklis ar lielisku plānojumu: viesistaba ir daļē,3,63,6,6,602.,"52,900",839.6825397,Nīcgales,40,Purvciems Nīcgales 40,Purvciems,"Latvia, Riga, Purvciems Nīcgales 40",2018
"Комфортный 2 этаж. Хотите жить в районе Тейка, да еще и в спецпроект",3,77,2,2,Specpr.,"79,900",1037.662338,Ropažu,5,Teika Ropažu 5,Teika,"Latvia, Riga, Teika Ropažu 5",2018
"Продаётся 3-х комнатная квартира, солнечная, не угловая, тёплая, зем",3,63,5,5,LT proj.,"40,000",634.9206349,Maskavas,266,Ķengarags Maskavas 266,Ķengarags,"Latvia, Riga, Ķengarags Maskavas 266",2018
Продаю в хорошем состоянии 3-х комнатную квартиру. В квартире устано,3,60,2,2,Staļina,"45,000",750,Platā,6,Bolderāja Platā 6,Bolderāja,"Latvia, Riga, Bolderāja Platā 6",2018
Прекрасная возможность сделать всё на свой вкус не переплачивая за ч,3,57,2,2,Hrušč.,"37,000",649.122807,Zvīņu,4,Daugavgrīva Zvīņu 4,Daugavgrīva,"Latvia, Riga, Daugavgrīva Zvīņu 4",2018
"Продается 3 комнатная квартира в хорошом состоянии, 3комнати(16, 18,",3,66,4,4,LT proj.,"58,000",878.7878788,Vaidavas,13,Purvciems Vaidavas 13,Purvciems,"Latvia, Riga, Purvciems Vaidavas 13",2018
Продает владелец Недавно сделан капитальный ремонт: - заменены все,3,65,5,5,103.,"84,000",1292.307692,Nīcgales,40,Purvciems Nīcgales 40,Purvciems,"Latvia, Riga, Purvciems Nīcgales 40",2018
"Тихая, светлая, тёплая не угловая квартира на 2 стороны с живописным",3,60,4,4,LT proj.,"52,000",866.6666667,Aglonas,10/3,Ķengarags Aglonas 10/3,Ķengarags,"Latvia, Riga, Ķengarags Aglonas 10/3",2018
"Pārdošanā daļēji remontēts, mājīgs, silts, gaišs 3-istabu dzīvoklis.",3,57,2,2,Hrušč.,"54,500",956.1403509,Daugavgrīvas,70/2,Iļģuciems Daugavgrīvas 70/2,Iļģuciems,"Latvia, Riga, Iļģuciems Daugavgrīvas 70/2",2018
"Срочно продаётся квартира, освобождена. Без долгов и отягощений. Чис",3,63,5,5,602.,"63,000",1000,Ulbrokas,11,Pļavnieki Ulbrokas 11,Pļavnieki,"Latvia, Riga, Pļavnieki Ulbrokas 11",2018
Pārdod trīs istabu dzīvokli. Divas izolētas istabas. Viesistaba sada,3,58,1,1,LT proj.,"59,000",1017.241379,Maltas,19,Ķengarags Maltas 19,Ķengarags,"Latvia, Riga, Ķengarags Maltas 19",2018
"Pārdošanā labiekārtots, mēbelēts trīsistabu dzīvoklis. Mājīgs un sil",3,60,2,2,LT proj.,"56,000",933.3333333,Tapešu,45,Dzegužkalns Tapešu 45,Dzegužkalns,"Latvia, Riga, Dzegužkalns Tapešu 45",2018
"Tiek pārdots dzīvoklis Staļina laika ēkā. Ēka ar pamatīgām sienām, l",3,70,3,3,Staļina,"67,000",957.1428571,Jūrmalas g.,37A,Imanta Jūrmalas g. 37A,Imanta,"Latvia, Riga, Imanta Jūrmalas g. 37A",2018
Pārdod 3 istabu dzīvokli ar kopējo platību 59 m2. Dzīvokļa plānojums,3,59,5,5,LT proj.,"43,000",728.8135593,Maltas,19,Ķengarags Maltas 19,Ķengarags,"Latvia, Riga, Ķengarags Maltas 19",2018
"Продается 3 компатная квартира на 1 этаже, в хорошем состоянии с кос",3,63,1,1,602.,"60,000",952.3809524,Keldiša,15,Pļavnieki Keldiša 15,Pļavnieki,"Latvia, Riga, Pļavnieki Keldiša 15",2018
"Plašs, remontēts 3-istabu dzīvoklis Ķengaragā - jaunajā Lietuviešu p",3,66,3,3,LT proj.,"57,000",863.6363636,Maskavas,311,Ķengarags Maskavas 311,Ķengarags,"Latvia, Riga, Ķengarags Maskavas 311",2018
"Blakus Daugavas promenādei, svaigs kapitālais remonts - Trīs istabu",3,60,4,4,LT proj.,"59,000",983.3333333,Maskavas,266/1,Ķengarags Maskavas 266/1,Ķengarags,"Latvia, Riga, Ķengarags Maskavas 266/1",2018
"Pārdod 3-istabas dzīvokli Lomonosova ielā, pirmskara laika mājā, 7 m",3,52,1,1,P. kara,"59,000",1134.615385,Lomonosova,2,Maskavas priekšpilsēta Lomonosova 2,Maskavas priekšpilsēta,"Latvia, Riga, Maskavas priekšpilsēta Lomonosova 2",2018
"Продаём уютную, тёплую 3-ёх комнатную квартиру, все комнаты раздельн",3,60,4,4,LT proj.,"55,900",931.6666667,Meldru,24,Vecmīlgrāvis Meldru 24,Vecmīlgrāvis,"Latvia, Riga, Vecmīlgrāvis Meldru 24",2018
"Владелец продает отремонтированную 3-комнатную квартиру, 2 изолирова",3,59,3,3,Hrušč.,"40,500",686.440678,Emmas,3a,Vecmīlgrāvis Emmas 3A,Vecmīlgrāvis,"Latvia, Riga, Vecmīlgrāvis Emmas 3A",2018
Īpašnieks pārdod mājīgu un saulainu dzīvokli Purvciemā. Dzīvoklis ir,3,57,3,3,LT proj.,"58,500",1026.315789,Ieriķu,39,Purvciems Ieriķu 39,Purvciems,"Latvia, Riga, Purvciems Ieriķu 39",2018
"Saulains 3 istabu dzīvoklis projektā Dienvidu pakavs, visas istabas",3,146,4,4,Specpr.,"159,000",1089.041096,Vienības g.,186A,Ziepniekkalns Vienības g. 186A,Ziepniekkalns,"Latvia, Riga, Ziepniekkalns Vienības g. 186A",2018
"Īpašnieks pārdod dzīvokli - trīs istabas un veranda, autonomā gāzes",3,114,1,1,P. kara,"152,000",1333.333333,Meža pr.,101,Mežaparks Meža pr. 101,Mežaparks,"Latvia, Riga, Mežaparks Meža pr. 101",2018
"Предлагаю к продаже просторную, солнечную квартиру в в центре Пурвци",3,75,3,3,119.,"64,500",860,Brantkalna,11,Purvciems Brantkalna 11,Purvciems,"Latvia, Riga, Purvciems Brantkalna 11",2018
"Pārdošanā ir plašs, gaišs, saulains dzīvoklis specprojekta mājā, pie",3,77,5,5,Specpr.,"76,500",993.5064935,Ropažu,5,Teika Ropažu 5,Teika,"Latvia, Riga, Teika Ropažu 5",2018
Трех комнатная квартира в районе Межапарк на 5 этаже 12 этажного дом,3,83,5,5,Specpr.,"93,000",1120.481928,Ezermalas,19,Mežaparks Ezermalas 19,Mežaparks,"Latvia, Riga, Mežaparks Ezermalas 19",2018
"Владелец продает 3-х комнатную квартиру с хорошим ремонтом, автономн",3,60,1,1,Staļina,"60,000",1000,Šauļu,4А,Iļģuciems Šauļu 4А,Iļģuciems,"Latvia, Riga, Iļģuciems Šauļu 4А",2018
"Lv/ru Silts un mājīgs 3 istabu dzīvoklis, bez parādiem. Māja un mā",3,63,8,8,602.,"61,700",979.3650794,Salnas,3,Pļavnieki Salnas 3,Pļavnieki,"Latvia, Riga, Pļavnieki Salnas 3",2018
Jaunajā lietuviešu projektā ļoti labā stāvoklī esošs 3-istabu dzīvok,3,55,4,4,LT proj.,"61,500",1118.181818,Zvaigznāja g.,5,Purvciems Zvaigznāja g. 5,Purvciems,"Latvia, Riga, Purvciems Zvaigznāja g. 5",2018
"Продается светлая, уютная квартира с хорошим новым ремонтом, совреме",3,63,7,7,602.,"63,000",1000,Deglava,154,Pļavnieki Deglava 154,Pļavnieki,"Latvia, Riga, Pļavnieki Deglava 154",2018
"Vēl ir laiks līdz ziemassvētkiem, īpašumā iegādāties jaunu mājokli.",3,63,8,8,467.,"61,000",968.2539683,Slāvu,23,Dārzciems Slāvu 23,Dārzciems,"Latvia, Riga, Dārzciems Slāvu 23",2018
Успейте к Рождественским праздникам обзавестись новым домом. Сдела,3,63,8,8,467.,"61,000",968.2539683,Slāvu,23,Pļavnieki Slāvu 23,Pļavnieki,"Latvia, Riga, Pļavnieki Slāvu 23",2018
"Распашенка - 2 изолированные и 1 проходная комната, раздельный сануз",3,59,4,4,Hrušč.,"55,500",940.6779661,Malienas,66,Jugla Malienas 66,Jugla,"Latvia, Riga, Jugla Malienas 66",2018
Īpašnieks pārdod trīsistabu dzīvokli ar mēbelēm. Dzīvoklis rūpīgi ap,3,74,8,8,119.,"98,500",1331.081081,Nīcgales,31,Purvciems Nīcgales 31,Purvciems,"Latvia, Riga, Purvciems Nīcgales 31",2018
"Pārdodam vai mainām labiekārtotu, siltu dzīvokli Ziepniekkalnā, Ozol",3,63,5,5,602.,"65,000",1031.746032,Ozolciema,32,Ziepniekkalns Ozolciema 32,Ziepniekkalns,"Latvia, Riga, Ziepniekkalns Ozolciema 32",2018
"Īpašnieks pārdod privatizētu 3-istabu dzīvokli, ir zemesgrāmata. Div",3,66,2,2,LT proj.,"48,000",727.2727273,Bēnes,2,Iļģuciems Bēnes 2,Iļģuciems,"Latvia, Riga, Iļģuciems Bēnes 2",2018
"Pārdošanā mājas pirmais stāvs. Plānojums: virtuve, 3 izolētas ista",3,82,1,1,Priv. m.,"90,000",1097.560976,Līduma,12a,Mežciems Līduma 12a,Mežciems,"Latvia, Riga, Mežciems Līduma 12a",2018
Īpašnieks pārdod trīs istabu dzīvokli Imantā. Dzīvoklī veikts remont,3,62,1,1,602.,"68,000",1096.774194,Kurzemes pr.,148,Imanta Kurzemes pr. 148,Imanta,"Latvia, Riga, Imanta Kurzemes pr. 148",2018
Divstāvīgs dzīvoklis ar pilsētas privātmājas sajūtu. 15min pastaigas,3,75,2,2,P. kara,"90,000",1200,Bauskas,8C,Āgenskalns Bauskas 8C,Āgenskalns,"Latvia, Riga, Āgenskalns Bauskas 8C",2018
"3-istabu dzīvoklis Imantā. Divas izolētas guļamistabas, vienā guļa",3,61,3,3,602.,"60,000",983.6065574,Kurzemes pr.,130,Imanta Kurzemes pr. 130,Imanta,"Latvia, Riga, Imanta Kurzemes pr. 130",2018
Предлагаем очень уютную 3-х комнатную квартиру. Приличный ремонт(з,3,60,4,4,LT proj.,"56,000",933.3333333,Nīcgales,16,Purvciems Nīcgales 16,Purvciems,"Latvia, Riga, Purvciems Nīcgales 16",2018
"Pārdodu 3 istabu dzīvokli Stirnu ielā Purvciemā 602 sērijas mājā, ka",3,61,6,6,602.,"61,000",1000,Stirnu,37,Purvciems Stirnu 37,Purvciems,"Latvia, Riga, Purvciems Stirnu 37",2018
Īpašnieks pārdod 3 istabu dzīvokli Vecmīlgrāvī. Dzīvoklis atrodas St,3,52,2,2,Staļina,"39,000",750,Emmas,12a,Vecmīlgrāvis Emmas 12a,Vecmīlgrāvis,"Latvia, Riga, Vecmīlgrāvis Emmas 12a",2018
"3 istabas un virtuve - izremontēts, iegūstat 3 istabu dzīvokli ar vi",3,54,1,1,Specpr.,"34,380",636.6666667,Viestura pr.,69,Sarkandaugava Viestura pr. 69,Sarkandaugava,"Latvia, Riga, Sarkandaugava Viestura pr. 69",2018
Tiek piedāvāts uz pārdošanu komfortabls dzīvoklis ar augstiem griest,3,48,2,2,Staļina,"49,150",1023.958333,Ieriķu,26,Purvciems Ieriķu 26,Purvciems,"Latvia, Riga, Purvciems Ieriķu 26",2018
"Цена снижена. Срочно продаётся тёплая и уютная квартира, с просторны",3,73,2,2,P. kara,"75,000",1027.39726,Ščecinas,2,Mežaparks Ščecinas 2,Mežaparks,"Latvia, Riga, Mežaparks Ščecinas 2",2018
Pārdodu saulainu un ļoti siltu 3-istabu dzīvokli. Stikla pakešu logi,3,58,5,5,Hrušč.,"49,800",858.6206897,Murjāņu,34,Jugla Murjāņu 34,Jugla,"Latvia, Riga, Jugla Murjāņu 34",2018
Квартира и земля под домом в собственности. Есть встроенная кухня. М,3,54,4,4,LT proj.,"43,000",796.2962963,Iļģuciema,12,Iļģuciems Iļģuciema 12,Iļģuciems,"Latvia, Riga, Iļģuciems Iļģuciema 12",2018
Продается квартира. Смежноизолированные комнаты. Остаётся вся мебель,3,63,6,6,Renov.,"62,000",984.1269841,Dombrovska,49,Vecmīlgrāvis Dombrovska 49,Vecmīlgrāvis,"Latvia, Riga, Vecmīlgrāvis Dombrovska 49",2018
"Продается 3-хкомнатная квартира в хорошем состоянии, все комнаты изо",3,69,3,3,Specpr.,"52,000",753.6231884,Parādes,28,Daugavgrīva Parādes 28,Daugavgrīva,"Latvia, Riga, Daugavgrīva Parādes 28",2018
Tikai 20 soļi līdz Daugavai. Pārdod telpas - dzīvokli Krēmeru ielā 1,3,98,1,1,Specpr.,"21,000",214.2857143,Krēmeri,14,Krēmeri Krēmeri 14,Krēmeri,"Latvia, Riga, Krēmeri Krēmeri 14",2018
Tiek pārdots trīs istabu dzīvoklis Mežaparkā ar pazemes autostāvviet,3,86,1,1,Specpr.,"99,000",1151.162791,Ezermalas,13,Mežaparks Ezermalas 13,Mežaparks,"Latvia, Riga, Mežaparks Ezermalas 13",2018
"Piedāvājam iegādāties dzīvokli. 119.sērija. 1. Stāvs, bez mēbelēm. Ē",3,75,1,1,119.,"59,000",786.6666667,Bruknas,14,Ziepniekkalns Bruknas 14,Ziepniekkalns,"Latvia, Riga, Ziepniekkalns Bruknas 14",2018
"Īpašnieks pārdod daļēji mēbelētu, siltu, mājīgu 3-istabu dzīvokli Ve",3,64,3,3,602.,"51,000",796.875,Dombrovska,39,Vecmīlgrāvis Dombrovska 39,Vecmīlgrāvis,"Latvia, Riga, Vecmīlgrāvis Dombrovska 39",2018
Дом расположен в озеленённом месте с прекрасно развитой инфраструкту,3,63,9,9,602.,"62,800",996.8253968,Vīksnes,29A,Imanta Vīksnes 29A,Imanta,"Latvia, Riga, Imanta Vīksnes 29A",2018
"Продается светлая, уютная квартира в доме качественной постройки. Те",3,63,6,6,602.,"59,000",936.5079365,Staiceles,1/3,Purvciems Staiceles 1/3,Purvciems,"Latvia, Riga, Purvciems Staiceles 1/3",2018
"Pārdod jauku, mājīgu dzīvokli Imantā. Dzīvoklis atbrīvots, ir iebūvē",3,62,5,5,602.,"61,000",983.8709677,Kurzemes pr.,128,Imanta Kurzemes pr. 128,Imanta,"Latvia, Riga, Imanta Kurzemes pr. 128",2018
Pārdod trīsistabu dzīvokli Iļguciema rajonā. Zeme zem mājas īpašum,3,64,1,1,LT proj.,"45,200",706.25,Lidoņu,13,Iļģuciems Lidoņu 13,Iļģuciems,"Latvia, Riga, Iļģuciems Lidoņu 13",2018
"Pārdod 3istabu dzīvokli Imantā, dzīvoklis parastā stāvoklī, divas iz",3,66,5,5,LT proj.,"53,000",803.030303,Zentenes,4,Imanta Zentenes 4,Imanta,"Latvia, Riga, Imanta Zentenes 4",2018
"Продаю квартиру 104 серии. Отличное расположение дома, рядом все, чт",3,71,9,9,104.,"70,000",985.915493,Brantkalna,7,Purvciems Brantkalna 7,Purvciems,"Latvia, Riga, Purvciems Brantkalna 7",2018
Хозяин продает 3-х комнатную квартиру по адресу Лидоню 15 (прямо на,3,55,5,5,LT proj.,"42,500",772.7272727,Lidoņu,15,Iļģuciems Lidoņu 15,Iļģuciems,"Latvia, Riga, Iļģuciems Lidoņu 15",2018
"Продаем квартиру в литовском проекте, на благоустроенной территории",3,59,5,5,LT proj.,"42,900",727.1186441,Lokomotīves,70А,Ķengarags Lokomotīves 70А,Ķengarags,"Latvia, Riga, Ķengarags Lokomotīves 70А",2018
"Продаем квартиру в спецпроекте, на благоустроенной территории с разв",3,62,5,5,Specpr.,"61,000",983.8709677,Ieriķu,6,Purvciems Ieriķu 6,Purvciems,"Latvia, Riga, Purvciems Ieriķu 6",2018
Pārdod saulainu un mājīgu dzīvokli Imantā. 2 gadus atpakaļ veikts,3,51,4,4,Specpr.,"45,700",896.0784314,Kurzemes pr.,18,Imanta Kurzemes pr. 18,Imanta,"Latvia, Riga, Imanta Kurzemes pr. 18",2018
"Staļina laika ēkā, 3-istabu dzīvoklis. Ļoti labs plānojums, visas",3,70,3,3,Staļina,"67,000",957.1428571,Jūrmalas g.,37A,Imanta Jūrmalas g. 37A,Imanta,"Latvia, Riga, Imanta Jūrmalas g. 37A",2018
Pārdod dzīvokli ar īpašumā piederošu piemājas zemi 2300m2 platībā.,3,70,2,2,P. kara,"110,000",1571.428571,Kantora,11,Bieriņi Kantora 11,Bieriņi,"Latvia, Riga, Bieriņi Kantora 11",2018
Lielisks un silts dzīvoklis mājas vidū ar labu atrašanās vietu Jūsu,3,63,3,3,602.,"60,000",952.3809524,Keldiša,24,Pļavnieki Keldiša 24,Pļavnieki,"Latvia, Riga, Pļavnieki Keldiša 24",2018
Dzīvoklis ar unikālu skatu Kalnciema kvartāla tuvumā. Pilnībā ren,3,97,3,3,Renov.,"195,000",2010.309278,Alīses,5,Āgenskalns Alīses 5,Āgenskalns,"Latvia, Riga, Āgenskalns Alīses 5",2018
"Светла, просторная квартира отличной планировки с 2 лоджиями, одна и",3,75,3,3,119.,"60,000",800,Ozolciema,16,Ziepniekkalns Ozolciema 16,Ziepniekkalns,"Latvia, Riga, Ziepniekkalns Ozolciema 16",2018
Pārdodu sakārtotu 3-ist. dzīvokli Botāniskā dārza tuvumā ar 2 izolēt,3,59,1,1,LT proj.,"49,800",844.0677966,Baldones,24,Āgenskalns Baldones 24,Āgenskalns,"Latvia, Riga, Āgenskalns Baldones 24",2018
"Kooperatīvs ""Tīnūži"" - zemi komunālie maksājumi. Dzīvoklis labā",3,60,4,4,467.,"67,000",1116.666667,Maskavas,224,Krasta r-ns Maskavas 224,Krasta r-ns,"Latvia, Riga, Krasta r-ns Maskavas 224",2018
